caption,response
"#บริจาคเลือด #บริจาคโลหิต #โรงพยาบาลรามาธิบดี #รามาพรีเมี่ยม 
สำหรับท่านที่สะดวกบริจาคเลือดค่ะ ^^

ขออนุญาตแจ้งข่าว 

เนื่องด้วยนายศุภกร วงษ์กุหลาบ
นร.ชั้นม.5/3
กำลังเตรียมจะผ่าตัดหลัง ที่โรงพยาบาลรามา (พรีเมี่ยม) วันที่12 มิถุนายน 2566 นี้
แต่ทางรพ.อาจมีเลือดสำรองไม่เพียงพอ จึงขอบริจาคเลือดกรุ๊ป A 
(*)ผู้บริจาคจะเป็นเลือดกรุ๊ปใดก็ได้ สามารถนำมาแลกเป็นกรุ๊ป A ได้ 
(*) สามารถบริจาคได้ที่ โรงพยาบาลรามา (เขียนกำกับว่าเพื่อนายศุภกร วงษ์กุหลาบ)

กราบขอบพระคุณเป็นอย่างสูง
ผปค.นายศุภกร วงษ์กุหลาบ",Yes
Walking alone 👣 บางเส้นทางก็ไม่ได้เลือก และไม่อยากเลือก แต่ชีวิตมันมาแบบนี้ หน้าที่ของเราก็คือ เดินด้วยความไม่ประมาท ใช้ทุกเส้นทางให้เกิดประโยชน์ โชคดีเท่าไหร่ที่ยังมีสองขาแข็งแรงและเส้นทางให้เดิน  มันก็แค่แบบทดสอบ ใจที่มั่นคงจะนำพาเรา ให้สู่จุดหมายได้อย่างปลอดภัย 🐚🍁🍂🌷#รามาพรีเมี่ยม #ความไม่มีโรคเป็นลาภอันประเสริฐ #ฉันในวันนี้ทำดีที่สุดแล้ว #ชีวิตหมอดู #ไพ่ยิปซีจักรวาล #เลขศาสตร์เศรษฐี,No
ไปหาหมอจริงๆนะ #เจอเพื่อนบ้าง #เจอคนที่ชื่นชอบบ้าง #อาหารอร่อย #บรรยากาศดี #เจ้าของหล่อ #เลอทาน่าจุดนัดพบของคนบางพลี24ชม #รามาพรีเมี่ยม,No
#รามาพรีเมี่ยม #หมอเก่งมาก มารักษาปลายเส้นประส่าทอักเสบ 2เดือนหาย100%,Yes
วันนี้พบอาจารย์กนกพรรณ #คุณหมอพัฒนาการและพฤติกรรมก้าวร้าว  คุณหมอบอกว่านะโมมีพัฒนาการที่สมวัย รู้จักปฏิเสธและตอบโต้ในสิ่งที่ตนเองชอบและไม่ชอบ สื่อสารและตอบคำถามได้ดี ทั้งภาษาไทยและภาษาอังกฤษ #พัฒนาการด้านสมองสมวัยหรืออาจจะเท่าเทียมเด็ก4ขวบ วันนี้รู้จักสัตว์ทุกชนิดที่หมอถาม รู้จักสีทุกสีที่หมอชี้ ยังคงเป็นเด็กที่มีความเป็นตัวของตัวเองค่อนข้างสูง มี energy เยอะ #3ขวบ #สตอรี่ความรู้สึก #บันทึกของแม่ #babyboy #ครอบครัวตํารวจ #รามาพรีเมี่ยม #3ขวบ #บันทึกของแม่ 31/01/2568 บันทึกของนะโม,No. The message does not appear to be discussing Ramathibodi. It seems to be a personal account of a child's development and behavior during a visit to a doctor.
"VAC 2Y ฉีด JE กับ อีสุกอีใส
25/01/2567
#รามาพรีเมี่ยม #2ขวบ #babyboy",No
"🥳 ส วั ส ดี ปี ใ ห ม่ ✨
คุณหมอผู้น่ารักของหนู ตอบทุกถาม ไขทุกข้อข้องใจ ไม่เคยรำคาญ ดูแลดีมาก น่าร๊ากกก 😊

#รามาพรีเมี่ยม 
#หมอรามาใจดี",Yes
"ถามมาได้เลย แค่นี้สบายมาก 

หมอหนูใจดีสุดแล้ว 🤍
#หมอรามา #รามาพรีเมี่ยม",Yes
"ประโยคที่คุ้นเคย
“มาอีกแล้ว” 🤣🤣🤣
อ.หมอเป็นคนตลก 

#รามาพรีเมี่ยม",No
"#ผู้ป่วยนอก หาหมอแบบไม่นอนโรงพยาบาล
จ่ายตามจริง วงเงิน 100 ล้านต่อปี

✅ ค่าห้อง 15,000- บาท/คืน🏥
✅ คลอดบุตรเบิกได้ 200,000-400,000 บาท🤰
✅ มีวงเงินค่ารักษา 100 ล้านบาท / ปี
✅ เบิกได้ทั้งผู้ป่วยนอก และผู้ป่วยใน
✅ ฉีดวัคซีน ทันตกรรม และสายตา เบิกได้
✅ รับค่าตรวจสุขภาพ สูงสุดถึง 20,000 บาท/ปี

.
อัพเดทใหม่ 🎉
ใช้ได้ทุกโรงพยาบาลในประเทศไทย
✅ รพ.กรุงเทพ
✅ รพ.บำรุงราษฎร์
✅ รพ.ศิริราช ปิยมหาราชการุณย์
✅ รพ.รามา พรีเมี่ยม
✅ รพ.เมดพาร์ค 
และโรงพยาบาลชั้นนำในเครือข่ายอยุธยาแคร์ ทั่วประเทศมากว่า​ 600 แห่งทั่วประเทศ
-------------

👉สนใจสอบถามได้นะคะ
👉หรือนัดเจอเพื่อคุยรายละเอียด
🎊สอบถามรายละเอียด​เพิ่มเติม​พร้อมรับโปรโมชั่นพิเศษได้เลยค่ะ​ 🎁
--------------

ถามตอบทุกข้อสงสัยเกี่ยวประกัน  ทบทวบกรมธรรม์ที่มีอยู่แล้วว่าคุ้มครองอะไรบ้าง ทักมาปรึกษาได้เลยคะ

นอกจากแบบประกันที่ดีและเหมาะสม
สิ่งที่สำคัญที่สุดคือ ""ตัวแทน""

✅ ติดต่อได้ไว ✅ ไม่หายไปไหน
✅ รวดเร็วฉับไว ✅ พร้อมให้บริการ
.
..
#HealthCare #ประกันสุขภาพ #HealthInsurance #ตัวแทนประกันชีวิต #Allianz #อลิอันซ์อยุธยา #ประกันคลอดบุตร #ผู้ป่วยนอกจ่ายตามจริง
#โรงพยาบาลกรุงเทพ #โรงพยาบาลสมิติเวช #โรงพยาบาลพญาไท #โรงพยาบาลเปาโลเมโมเรียล #โรงพยาบาลบีเอ็นเอช #โรงพยาบาลบำรุงราษฎร์ #รามาพรีเมี่ยม #โรงพยาบาลศิริราชปิยมหาราชการุณย์ #โรงพยาบาลเมดพาร์ค #ตัวแทนอลิอันซ์อยุธยา",No
"Vaccine day 💉💉

วันนี้เลย์ล่ามีนัดฉีดวัคซีนป้องกันไข้หวัดใหญ่ เข็มที่ 1 ที่รามาพรีเมี่ยม ตอน 9 โมงเช้า

มี๊ปลุกเจ้านู๋ตื่นมาเข้าเต้าตั้งแต่ 6 โมงเช้า กินเสร็จก็ต้องออกเดินทางกันเลย เช้าๆ เดินทางเข้าเมืองรถแอบเยอะ และติดมาก ทำให้เลย์ล่าต้องกินข้าวเช้าบนรถ วันนี้เป็น ข้าว * ผักบุ้ง * อโวคาโด * ไก่ * น้ำ stock หมดเกลี้ยง 😋

พอถึง รพ วันนี้แผนกเด็กคนไม่ค่อยเยอะ มี๊ชอบมากก 😍 เลย์ล่าชั่งน้ำหนัก วัดส่วนสูงพร้อม ตอนนี้เลย์ล่า 6 เดือน 24 วัน

น้ำหนัก 8.3 กก คิดเป็น 75% ของคนทั่วไป
ส่วนสูง 70.2 ซม คิดเป็น 90% ของคนทั่วไป

คุณหมอบอกว่า น้องน่าจะสูง ซึ่งป่าปี๊เขาชอบเคลมว่า ลูกขายาวเหมือนตัวเองตลอด ได้ยินแบบนี้คงยิ้มแป้น 😆😆 แต่มี๊แอบถามหมอว่า น้องอ้วนเกินเกณฑ์ไหมคะ เพราะตอนนี้อุ้มและหนักมาก 😄😄 คุณหมอบอกปกติค่า

มาถึงช่วงตอนฉีดยา ที่ห้องฉีดยามีตุ๊กตากรุ๋งกริ๋ง พอหลอกล่อได้บ้าง มีร้องนิดหน่อยตอนเข็มลงขา แต่ก็ร้องแป๊บเดียว เก่งมากเจ้าเลย์ล่า 👏🏻👏🏻

คุณหมอบอกว่าวัคซีนตัวนี้ไม่น่าจะมีไข้ แต่เดี๋ยวมารอดูกัน ว่าจะไม่มีจริงไหม อย่ามีเลยลูก 😘😘

เสร็จแล้วกลับบ้านได้ ถึงบ้านอาบน้ำ กินนม นอน สบายใจ 😌😌 พบกันใหม่เข็ม 2 เดือนหน้าจ้า 

#iamwijittraK #LalaLaylaK #6months24days #รามาพรีเมี่ยม #แผนกเด็กรามาพรีเมี่ยม #วัคซีนเด็ก #วัคซีนไข้หวัดใหญ่",Yes
"☘️update จ้า
เตรียม check up ก่อนผ่าตัดจริง
⏰ก้อนเนื้อโตขึ้นกว่าเดิมเยอะพอสมควร จาก 2.6 เซน เป็น 3.8 เซน แต่ยังเป็นเนื้อดี
📌ผ่าตัดด้วยการส่องกล้อง ผ่าน 3 จุด หมอแนะนำให้ส่งดีกว่า เพราะแผลหายเร็วและพักฟื้นไม่นาน ภาวะแทรกซ้อนน้อยกว่า ส่องกล้องทางปาก และผ่าตัดตรวคอเลย 🥶
ราคาประเมินคือ 200,000 เบาๆ ยังไม่รวมวันนี้และวัน check up อีกจ้า~~ 
ดีนะทำประกันไว้ ไม่งั้นพินาศ 😳😳

น้องพิมคนสวย Pim Popeyeหลังไมค์มาแนะนำการจองคิว น่าร้าก
ขอบคุณเพื่อนที่เตรียมตัวมาเฝ้าไข้และมาเยี่ยม Ta-u NoiMay Suratwadee NmYuwadee Koolsri

ปล.ไม่ได้ขายประกัน แต่แนะนำได้✅

#รีวิวชีวิตคนไข้
#ประกันกรุงไทยแอกซ่า
#รามาพรีเมี่ยม
#รามาธิบดี",Yes
"#ผู้ป่วยนอก วงเงิน 100 ล้าน😱
✅ ค่าห้อง 15,000- บาท/คืน
✅ คลอดบุตรเบิกได้ 200,000-400,000 บาท
✅ มีวงเงินค่ารักษา 100 ล้านบาท / ปี
✅ เบิกได้ทั้งผู้ป่วยนอก และผู้ป่วยใน
✅ ฉีดวัคซีน ทันตกรรม และสายตา เบิกได้
✅ รับค่าตรวจสุขภาพ สูงสุดถึง 20,000 บาท/ปี
.
อัพเดทใหม่ 🎉
ใช้ได้ทุกโรงพยาบาลในประเทศไทย
✅ รพ.กรุงเทพ
✅ รพ.สมิติเวช
✅ รพ.พญาไท
✅ รพ.บำรุงราษฎร์
✅ รพ.ศิริราช ปิยมหาราชการุณย์
✅ รพ.รามา พรีเมี่ยม
และโรงพยาบาลชั้นนำในเครือข่ายอยุธยาแคร์ ทั่วประเทศมากว่า​ 600 แห่งทั่วประเทศ
-------------
👉สนใจสอบถามได้นะคะ
👉หรือนัดเจอเพื่อคุยรายละเอียด
🎊สอบถามรายละเอียด​เพิ่มเติม​พร้อมรับโปรโมชั่นพิเศษได้เลยค่ะ​ 🎁
--------------
ติดต่อ คุณกุลลินี  ศรีวิชัย (จุกจิก)
ตัวแทนประกันชีวิต บมจ.อลิอันซ์ อยุธยา ประกันชีวิต
☎️ 093-2426616
.
..
..
#HealthCare #ประกันสุขภาพ #HealthInsurance #ตัวแทนประกันชีวิต #Allianz #อลิอันซ์อยุธยา #ประกันคลอดบุตร #ผู้ป่วยนอกจ่ายตามจริง
#โรงพยาบาลกรุงเทพ #โรงพยาบาลสมิติเวช #โรงพยาบาลพญาไท #โรงพยาบาลเปาโลเมโมเรียล #โรงพยาบาลบีเอ็นเอช #โรงพยาบาลบำรุงราษฎร์ #รามาพรีเมี่ยม #โรงพยาบาลศิริราชปิยมหาราชการุณย์  #ตัวแทนอลิอันซ์",No
วันนี้พบอาจารย์กนกพรรณ #คุณหมอพัฒนาการและพฤติกรรมก้าวร้าว  คุณหมอบอกว่านะโมมีพัฒนาการที่สมวัย รู้จักปฏิเสธและตอบโต้ในสิ่งที่ตนเองชอบและไม่ชอบ สื่อสารและตอบคำถามได้ดี ทั้งภาษาไทยและภาษาอังกฤษ #พัฒนาการด้านสมองสมวัยหรืออาจจะเท่าเทียมเด็ก4ขวบ วันนี้รู้จักสัตว์ทุกชนิดที่หมอถาม รู้จักสีทุกสีที่หมอชี้ ยังคงเป็นเด็กที่มีความเป็นตัวของตัวเองค่อนข้างสูง มี energy เยอะ #3ขวบ #สตอรี่ความรู้สึก #บันทึกของแม่ #babyboy #ครอบครัวตํารวจ #รามาพรีเมี่ยม #3ขวบ #บันทึกของแม่ 31/01/2568 บันทึกของนะโม,No
"โดนสั่งตรวจ! 

•เจาะ🩸ไป 6 หลอด! เลยถามคุณหมอว่า ผลเลือดบอกไหมว่าผมจะรวยเมื่อไรครับ? 😚

•คุณหมอ มองหน้า😊แล้วยิ้มให้ทีนึง และพูดเบาๆว่า ดูจากผลเลือดแล้ว… ”ปีหน้าคุณรวยนะ“ 

•สาธุ สิรออะไร🙏🙏🙏☺️

กราบงามๆพี่เบล @belldec พี่แอม มา ณ โอกาสนี้ด้วยครับ 🙏❤️

#BasPiriyakul 
#PiriyaInternational 
#รามา #โรงพยาบาลรามาธิบดี 
#รามาพรีเมี่ยม #Bangkok #BikeForLife",Yes
Back to school #ชุดนักเรียนใหม่ #ตื่นเต้นๆ #รามาธิบดี,"No. The message is about going back to school and buying new uniforms, and does not mention any aspect of Ramathibodi Hospital or Mahidol University's Faculty of Medicine."
"5SW💉5SW💉SDLR

#รามาธิบดี #พยาบาลใหม่ #ศัลชาย #ผ่าตัดคลอด #ตึกหลัก #ตึกพระเทพ",No
เมื่อคุณนายเขาพบแพทย์ #อิชั้นนั่งรอ#เหนียงยาน#นานจริง#แถวนี้สาวเยอะ#สาวแก่#แม่ม่าย#คุณป้า#รามาธิบดี#เก๋ๆ#เบาๆ#,Yes
มหิดลเกมส์ #แบดมินตัน #รามาธิบดี #สู้!,Yes
#RamaDrama5th #TheJustice #รับน้อง #รามาธิบดี #แรกพบสพท. #สมุดประชุมเชียร์ #ขึ้นทะเบียนนักศึกษาใหม่ #ถวายสัตย์ #รามาปณิธาน #ปฐมนิเทศ #เมื่อแรกรู้จัก #ตรวจสุขภาพ :) คำถามสุดยอดแฟนพันธุ์แท้ครับ! จงเรียงลำดับเหตุการณ์ที่เกิดขึ้นมาครับ!!! #ไร้แก่นสาร,Yes
✌,No.
สวยงาม..อ่อนโยน..หอมละมุน.. แต่ก็อยู่ได้เพียงไม่นาน..ก่อนจะหมดไป... #แคปชั่นตรงกันข้าม #ถ่ายรูปรับปริญญา #รามาธิบดี,No
มาอีกแล้ว #รามาธิบดี ✌🏼️✌🏼😉😉,Yes
"Belo 😘 @thanachotek 
รู้ยางงงง? เอกเป็นงูสวัส555555 
เด็กดื้อ ไม่ดูแลตัวเอง งอแง บ้าบอ ..บ้ง!!!55😬 งานดี งาน #รามาธิบดี 😘✨",Yes
"`ฮ๊าาา~ ดูแล้วมีกำลังจัยจัง TT""
#สอบรวบยอด #รามาธิบดี #คำว่าอ่านไม่มีที่สิ้นสุด #ปี๊ด่อปี๊ด่อ zZZZz~",Yes
หนึ่งน้ำใจ ล้านคำขอบคุณ 🌹เคยรู้สึกแย่ๆ หาทางออกไม่เจอป่ะ เราว่าแย่ ในโลกใบนี้มีคนแย่กว่าเรามากมาย หลายคนเจ็บปวดเจียนตาย แขน ขา มีไม่ครบก็ถมเถ ถ้าพอมีทรัพย์ มีกำลัง ทำบุญช่วยเหลือกันและกันกันเถอะ 026 4 266715 SCB 10 บาท 100 บาท ตามกำลังเรา #รามาธิบดี #หนึ่งน้ำใจล้านคำขอบคุณ #ch3,No
คิดถึงจุง ... long time no see 😘 #ยังสวยเหมือนเดิม #คริคริ #รามาธิบดี,Yes
มากินกาแฟ+ส่องหมอรามา ฟินไปม่ะวันนี้? ตอบบ!!! #เป็นร้านที่ถ้าไม่มีโปรจะไม่กิน5555 #ฟินลื้มมมมมม #กินตัวแตก #รามาธิบดีโรงบาลชั้นดีมีมาตรฐาน 😘😚💚🍃🍵☕️,Yes
สถาบันนี้มีความสำคัญ #รามาธิบดี#RA51,Yes
อยู่นี่กันตั้งแต่เช้าตรู่ พ่อกับป้ามา 06.00น. เราตามมา 08.30น. ปัจจุบัน 11.51 น. ยังไม่ได้ตรวจเลย คนเยอะมากๆ วันนี้จะได้ตรวจไหมนิ แต่ก็นะ เพื่อลดค่าใช้จ่ายอย่างมหาศาล ต้องทนกันไป สู้ๆ ชีวิตมีไว้สู้ #ค่ะ #ร.พ. #รามาธิบดี #รามา #กทม #นานเกิ้น หมอนัด 10.40น. นะค่ะ คือ อะไร้,Yes
#กรุบกริบ กรุบกริบ#สวัสดีปี3#รามาธิบดี#nr42🚑💉#FotoRus,No
"คำว่าให้  ไม่มีสิ้นสุด 
Cr. #รามาธิบดี
 #มศว  #SWU",No. The message does not mention Ramathibodi.
มารอยาก็ได้ฟังเพลง#รามาธิบดี#pinkpather,Yes
"สำหรับระบบรับตรงพิเศษนะครับ จะใช้คะแนน IELTS 6.5
#Openhouseสพท
#รามาธิบดีหมอหน้าตาดีมีมาตรฐาน",Yes
กู#ลูกหลาน#เสด็จเตี่ย#กรมหลวงชุมพร#อาภากร#รามาธิบดี#ขอให้ลูกขายได้#ขายดี#ด้วยเถิด#สาธุ,No. The message does not mention Ramathibodi or any related entities.
สิ่งที่มันไม่แน่นอน คือความยืนยาว.  ชีวิตก็เช่นกัน #รพ #รามาธิบดี,No.
#fuzel @fuzelapp #รามาธิบดี #กรุงเทพ #เบื่อ #อยากลับบ้าน #อยากกลับไปเรียน #คิดถึงเพื่อน,No
พะโล้หมูสามชั้น สำหรับมื้อเช้าวันนี้ #รามาธิบดี..ซี้ดด,No
...คำว่าให้ไม่สิ้นสุด 😁😅 #รามาธิบดี #give,Yes
"มอบรอยยิ้มเหล่านี้ ให้เพื่อนๆทุกคน
""ยินดีด้วยนะ""
ปล.รูปจากงาน อยากบอกเธอ...รักครั้งเเรก
Cr:PhotoPheseems
#รามาธิบดีหมอน่ารักดีมีมาตรฐาน#อิ๊",No. The message does not mention Ramathibodi or any related entities. It appears to be a personal message expressing congratulations and sharing a photo.
ทรงพระเจริญ พระองค์เป็นแรงบันดาลใจ เป็นความภาคภูมิใจ ให้ประสพความสำเร็จ #nurserama12 #nr12 #ramanurse #ramathibodi #mahidolจบ2528.,"Yes. The message mentions Ramathibodi by using the hashtags ""#ramathibodi"" and ""#mahidol""."
"จบแล้วกับ ""รามาปณิธานครั้งที่ 19"" วันนี้สนุกมาก น้องๆน่ารักทุกคนเลยยย :D #รามาปณิธาน #รามาปณิธาน19 #รามาธิบดี #ramapanitharn19",Yes
"เปิดรับพรีออเดอร์ ด่วนๆๆครับบ
หมวกissue รามา (ผลิตรอบสอง)

เฉพาะคุณลูกค้าที่ไม่สะดวกไปต่อคิว ซื้อได้ด้วยตัวเอง
พรีออเดอร์ก่อนได้ก่อนนะครับ

สนใจทัก ID: line Ornni.ra 
หรือทาง อินบล๊อกเลย
ได้นะครับรวมส่ง EMS 400 
ของแท้ ของใหม่100%  #issuethailand#issuethailand_siam#kloset#seneda# wila#flynow#klosetbag#issue#playhound#arista#jaspal#lyn#
Sianbrandname# kwankao#somethingboudoir# cps#victeerut#queenp#lookbook#lynbag#issuecap##ตามหา#อยากขาย#รับหิ้ว#อยากได้#ตามหา#สนใจ#หมวก#กระเป๋า#รามาธ",No
ลายเสื้อยืดโคคูน ขายที่โรงพยาบาลรามาธิบดี รายได้ทั้งหมดมอบให้มูลนิธิรามาธิบดี #parn #parnart #parnsarts #รามาธิบดี #คำว่าให้...ไม่สิ้นสุด,Yes
อยู่นี่กันตั้งแต่เช้าตรู่ พ่อกับป้ามา 06.00น. เราตามมา 08.30น. ปัจจุบัน 11.51 น. ยังไม่ได้ตรวจเลย คนเยอะมากๆ วันนี้จะได้ตรวจไหมนิ แต่ก็นะ เพื่อลดค่าใช้จ่ายอย่างมหาศาล ต้องทนกันไป สู้ๆ ชีวิตมีไว้สู้ #ค่ะ #ร.พ. #รามาธิบดี #รามา #กทม #นานเกิ้น หมอนัด 10.40น. นะค่ะ คือ อะไร้,Yes
ถึงจะเหนื่อย แต่ก็โอเคนะ #สแตนด์NR #รามาธิบดี #มหิดล,Yes
#goodnight น้องเอกมาทักทาย ฝันดีนะทุกคน รักและให้กำลังใจน้องเอกเยอะๆนะคะ น้องเอกน่ารักมากค่ะ@thanachotek#thanachotek#thestar11#akethestar11#akebraveheart#รามาธิบดี,"No. The message does not mention Ramathibodi. It appears to be a personal message between individuals discussing a person named ""น้องเอก"" (nong ek) and their support for them. The hashtags used do not indicate any connection to Ramathibodi Hospital or Mahidol University."
สวัสดียามบ่าย น้องเอกมาทักทายกัน ยิ้มน้อยๆน่ารักๆค่ะรักคิดถึงน้องเอกเป็นกำลังใจให้น้องเอกกันเยอะๆนะคะ@thanachotek#thestar11#thanachotek#akethestar11#akebraveheart#รามาธิบดี,No
สวยงาม..อ่อนโยน..หอมละมุน.. แต่ก็อยู่ได้เพียงไม่นาน..ก่อนจะหมดไป... #แคปชั่นตรงกันข้าม #ถ่ายรูปรับปริญญา #รามาธิบดี,"No. The message does not talk about Ramathibodi. It appears to be a personal sentiment expressed through a metaphor, possibly related to graduation or a personal experience. The hashtags do not indicate any direct connection to Ramathibodi."
วันศุกร์แย้ววววว #ภูฟ้า #รามาธิบดี #phufa #ramathibodi#morning#milk#icefresh#icefreshmilk#phufaramathibodi#phufasignature#signature,Yes
หน่วยบำบัดระยะสั้น #รามาธิปดี,Yes
น้องเอก น้องจุ้งจิ้ง น้องเชอรีน 3พี่น้องบ้านเดอะสตาร์ น่ารักๆ @thanachotek#thestar11@jungjing_jj#akethestar11#akebraveheart #รามาธิบดี#thanachotek,No
"สำหรับระบบรับตรงพิเศษนะครับ จะใช้คะแนน IELTS 6.5
#Openhouseสพท
#รามาธิบดีหมอหน้าตาดีมีมาตรฐาน",Yes
"คือแบบว่า....... พี่เป็นคนดัง

ไปไหนมาไหนต้องพรางตัว

ว่าแต่..... ไอ้เงาข้างหลังนี่มันอะไร กัน!?? มันจะพรางตัว ? รึ  มันจะทำให้เด่นขึ้น !? เด่วได้ถูกจับกลับไปอยู่ที่เดิมหรอก ( แพทย์ลงความเห็นให้ Admit  3NK2  ได้ )
#จิตเวช #รามาธิบดี
#การทำงานหนักไม่ได้ทำให้เราเป็นบ้า","No. The message does not talk about Ramathibodi. It mentions ""#รามาธิบดี"" but the rest of the text discusses a personal experience and a comment made by a doctor regarding admission."
"1  2  3  4  5  6  7  8

ER  FC  พร้อมไหม ?!! พร้อมคร้า....( ตัวเองกล่าว )

ป้าย+ไฟ =  ป้ายไฟ พร้อมมือ

#ER#รามาธิบดี#FC
#การทำงานหนักไม่ได้ทำให้เราเป็นบ้า",No
